name	url	average_product_count	historical_min_product_count	historical_max_product_count	latest_product_count	latest_timestamp_CEST
0	https://www.medion.com/de/shop/pc/alle?pageSize=12&q=-sk-alle-pcs%253AaiCapability%253BCopilot%252B%2520PC%253Acategory_id%253BD2ES8L2WG8W7AOML3GZR1Z1JMF3RIFJ8---7972E19CC706CA0332BCF8A8C9859853---950FBD2668EDE2E54E357EEED75EBBF7---39C15B9B2318397E28C44B47869EB6E9&text=-sk-alle-pcs&sort=FFClickCount-desc&followSearch=	5,0	5	5	5	2026-09-15 14:51:20
14'' Laptops	https://www.medion.com/at/shop/laptops/14-zoll	4,07	3	5	3	2026-09-15 14:51:20
14'' Laptops	https://www.medion.com/de/shop/laptops/14-zoll	4,07	3	5	3	2026-09-15 14:51:20
15'' Laptops	https://www.medion.com/at/shop/laptops/15-zoll	2,12	2	3	3	2026-09-15 14:51:20
15'' Laptops	https://www.medion.com/de/shop/laptops/15-zoll	2,12	2	3	3	2026-09-15 14:51:20
16'' Laptops	https://www.medion.com/at/shop/laptops/16-zoll	0,0	0	0	0	2026-09-15 14:51:20
16'' Laptops	https://www.medion.com/de/shop/laptops/16-zoll	0,0	0	0	0	2026-09-15 14:51:20
17'' Laptops	https://www.medion.com/at/shop/laptops/17-zoll	6,0	6	6	6	2026-09-15 14:51:20
17'' Laptops	https://www.medion.com/de/shop/laptops/17-zoll	6,0	6	6	6	2026-09-15 14:51:20
18'' Laptops	https://www.medion.com/at/shop/laptops/18-zoll	1,0	1	1	1	2026-09-15 14:51:20
18'' Laptops	https://www.medion.com/de/shop/laptops/18-zoll	1,0	1	1	1	2026-09-15 14:51:20
4K UHD TVs	https://www.medion.com/at/shop/tv/4k-uhd	14,0	14	14	14	2026-09-15 14:51:20
4K UHD TVs	https://www.medion.com/de/shop/tv/4k-uhd	36,0	36	36	36	2026-09-15 14:51:20
AMD Ryzen	https://www.medion.com/at/shop/laptops/amd-ryzen	3,32	3	4	3	2026-09-15 14:51:20
AMD Ryzen	https://www.medion.com/de/shop/laptops/amd-ryzen	3,32	3	4	3	2026-09-15 14:51:20
Akku-Stielstaubsauger	https://www.medion.com/at/shop/akku-stielstaubsauger	8,34	8	9	8	2026-09-15 14:51:20
Akku-Stielstaubsauger	https://www.medion.com/de/shop/akku-stielstaubsauger	8,34	8	9	8	2026-09-15 14:51:20
Akoya PCs	https://www.medion.com/at/shop/akoya-pcs	1,0	1	1	1	2026-09-15 14:51:20
Akoya PCs	https://www.medion.com/de/shop/akoya-pcs	1,0	1	1	1	2026-09-15 14:51:20
Alexa	https://www.medion.com/at/shop/alexa	11,0	11	11	11	2026-09-15 14:51:20
Alexa	https://www.medion.com/de/shop/alexa	11,0	11	11	11	2026-09-15 14:51:20
Alexa Haushalt	https://www.medion.com/at/shop/haushalt-alexa	11,0	11	11	11	2026-09-15 14:51:20
Alexa Haushalt	https://www.medion.com/de/shop/haushalt-alexa	11,0	11	11	11	2026-09-15 14:51:20
All in One Audio Systems - Listing	https://www.medion.com/de/shop/audio/alle?pageSize=12&q=-sk-audio-alle%253AProduktart%253BAll-in-One%2520Audio%2520System%253Acategory_id%253BFE18B1A8FCC75585C50E2FF3850777A8&text=-sk-audio-alle&sort=FFClickCount-desc&followSearch=	0,0	0	0	0	2026-09-15 14:51:20
All-in-One-PCs	https://www.medion.com/at/shop/all-in-one-pc	2,0	2	2	2	2026-09-15 14:51:20
All-in-One-PCs	https://www.medion.com/de/shop/pc/all-in-one	2,0	2	2	2	2026-09-15 14:51:20
Alle Audio Produkte	https://www.medion.com/at/shop/audio-alle	64,68	64	65	65	2026-09-15 14:51:20
Alle Audio Produkte	https://www.medion.com/de/shop/audio/alle	64,68	64	65	65	2026-09-15 14:51:20
Alle Gaming Produkte	https://www.medion.com/at/shop/gaming-alle	32,93	30	36	30	2026-09-15 14:51:20
Alle Gaming Produkte	https://www.medion.com/de/shop/gaming/alle	33,93	31	37	31	2026-09-15 14:51:20
Alle Haushalt- und Freizeit-Produkte	https://www.medion.com/at/shop/haushalt-freizeit-alle	53,12	52	54	53	2026-09-15 14:51:20
Alle Haushalt- und Freizeit-Produkte	https://www.medion.com/de/shop/haushalt/alle	60,12	59	61	60	2026-09-15 14:51:20
Alle Heissluftfritteusen	https://www.medion.com/de/shop/kueche/heissluftfritteusen	19,05	19	20	19	2026-09-15 14:51:20
Alle Küchengeräte	https://www.medion.com/at/shop/kueche/alle	88,15	88	89	89	2026-09-15 14:51:20
Alle Küchengeräte	https://www.medion.com/de/shop/kueche/alle	64,17	64	65	65	2026-09-15 14:51:20
Alle Laptops	https://www.medion.com/at/shop/laptops	12,2	11	13	12	2026-09-15 14:51:20
Alle Laptops	https://www.medion.com/de/shop/laptops	12,2	11	13	12	2026-09-15 14:51:20
Alle Laptops	https://www.medion.com/de/shop/searchpages/alle-laptops	24,78	22	27	22	2026-09-15 14:51:20
Alle PCs	https://www.medion.com/at/shop/alle-pcs	9,17	9	10	10	2026-09-15 14:51:20
Alle PCs	https://www.medion.com/de/shop/pc/alle	9,17	9	10	10	2026-09-15 14:51:20
Alle Reinigungsgeräte	https://www.medion.com/at/shop/haushalt/reinigungsgeraete	23,34	23	24	23	2026-09-15 14:51:20
Alle Reinigungsgeräte	https://www.medion.com/de/shop/haushalt/reinigungsgeraete	30,34	30	31	30	2026-09-15 14:51:20
Alle TVs	https://www.medion.com/at/shop/tv	35,61	34	36	35	2026-09-15 14:51:20
Alle TVs	https://www.medion.com/de/shop/tv	57,61	56	58	57	2026-09-15 14:51:20
Alle Tablets	https://www.medion.com/at/shop/tablets-alle	2,0	2	2	2	2026-09-15 14:51:20
Alle Tablets	https://www.medion.com/de/shop/tablets-alle	2,0	2	2	2	2026-09-15 14:51:20
Android TVs	https://www.medion.com/at/shop/tv/android-tv	7,71	7	8	7	2026-09-15 14:51:20
Android TVs	https://www.medion.com/de/shop/tv/android-tv	7,71	7	8	7	2026-09-15 14:51:20
Angebote Audio	https://www.medion.com/de/shop/audio/angebote	18,85	2	22	4	2026-09-15 14:51:20
Angebote Gaming	https://www.medion.com/de/shop/gaming/angebote	9,9	2	14	3	2026-09-15 14:51:20
Angebote PC & Monitore	https://www.medion.com/de/shop/pc/angebote	4,9	1	6	1	2026-09-15 14:51:20
Angebote TV	https://www.medion.com/de/shop/tv/angebote	25,56	23	27	23	2026-09-15 14:51:20
Angebote bei MEDION	https://www.medion.com/at/shop/angebote	101,85	53	114	54	2026-09-15 14:51:20
Angebote bei MEDION	https://www.medion.com/de/shop/angebote	113,83	62	127	63	2026-09-15 14:51:20
Audio Angebote	https://www.medion.com/at/shop/audio/angebote	18,85	2	22	4	2026-09-15 14:51:20
Audio Neuheiten Listing	https://www.medion.com/de/shop/neuheiten?pageSize=12&q=-sk-alle-neuheiten%253AcategoryPath%253BAudio&text=-sk-alle-neuheiten&sort=FFClickCount-desc&followSearch=	64,5	64	65	65	2026-09-15 14:51:20
Audio-Systeme	https://www.medion.com/at/shop/musikanlagen	12,0	12	12	12	2026-09-15 14:51:20
Audio-Systeme	https://www.medion.com/de/shop/audio/musikanlagen	12,0	12	12	12	2026-09-15 14:51:20
B-Waren	https://www.medion.com/de/shop/b-waren	107,19	62	126	63	2026-09-15 14:51:20
B-Waren	https://www.medion.com/de/shop/laptops/b-waren	107,19	62	126	63	2026-09-15 14:51:20
B-Waren Haushaltsgeräte	https://www.medion.com/de/shop/b-waren-haushalt	24,42	18	28	18	2026-09-15 14:51:20
Back to School	https://www.medion.com/at/shop/back-to-school	23,2	22	24	23	2026-09-15 14:51:20
Back to School	https://www.medion.com/de/shop/back-to-school	23,2	22	24	23	2026-09-15 14:51:20
Back to Uni Freizeit	https://www.medion.com/at/shop/btu-freizeit	43,0	43	43	43	2026-09-15 14:51:20
Back to Uni Freizeit	https://www.medion.com/de/shop/btu-freizeit	43,0	43	43	43	2026-09-15 14:51:20
Back to Uni Frühstück	https://www.medion.com/at/shop/btu-fruehstuecken	10,0	10	10	10	2026-09-15 14:51:20
Back to Uni Frühstück	https://www.medion.com/de/shop/btu-fruehstuecken	10,0	10	10	10	2026-09-15 14:51:20
Back to Uni Radio	https://www.medion.com/at/shop/btu-radios	33,68	33	34	34	2026-09-15 14:51:20
Back to Uni Radio	https://www.medion.com/de/shop/btu-radios	33,68	33	34	34	2026-09-15 14:51:20
Back to Uni Tablet	https://www.medion.com/at/shop/btu-tablets	2,0	2	2	2	2026-09-15 14:51:20
Back to Uni Tablet	https://www.medion.com/de/shop/btu-tablets	2,0	2	2	2	2026-09-15 14:51:20
Baustellenradio	https://www.medion.com/de/shop/audio/baustellenradio	4,0	4	4	4	2026-09-15 14:51:20
Beast 16 X10	https://www.medion.com/de/shop/lp/erazer/beast-16-x10	3,32	3	4	3	2026-09-15 14:51:20
Bildschirm Flackert	https://www.medion.com/de/shop/search?text=monitor	5,27	5	6	6	2026-09-15 14:51:20
Black Friday	https://www.medion.com/de/shop/black-week					2026-09-15 14:51:20
Black Friday	https://www.medion.com/de/shop/black-week/haushalt-freizeit					2026-09-15 14:51:20
Black Friday	https://www.medion.com/de/shop/black-week/laptops					2026-09-15 14:51:20
Black Friday	https://www.medion.com/de/shop/black-week/tv					2026-09-15 14:51:20
Black Friday - Audio	https://www.medion.com/de/shop/black-week/audio					2026-09-15 14:51:20
Black Friday - Gaming - PC	https://www.medion.com/de/shop/black-week/gaming					2026-09-15 14:51:20
Blue Days	https://www.medion.com/at/shop/blue-days					2026-09-15 14:51:20
Blue Days	https://www.medion.com/de/shop/blue-days					2026-09-15 14:51:20
Bluetooth Kopfhörer	https://www.medion.com/de/shop/audio/bluetooth-kopfhoerer	6,0	6	6	6	2026-09-15 14:51:20
Bluetooth Lautsprecher	https://www.medion.com/at/shop/bluetooth-lautsprecher	12,0	12	12	12	2026-09-15 14:51:20
